String ID,Dev Notes / Context,Character Limit,Text
"New Game","Main Menu","15","Новая игра"
"Resume Game","Main Menu","15","Продолжить игру"
"Load Game","Main Menu","15","Загрузить игру"
"Settings","Main Menu","15","Настройки"
"Tutorial","Main Menu","15","Обучение"
"Patch Notes","Main Menu","15","Изменения"
"Credits","Main Menu","15","Credits"
"Difficulty Settings","Difficulty Menu","24","Настройки сложности"
"Presents","Difficulty Menu","32","Шаблоны"
"Trading","Difficulty Menu","32","Торговля"
"Loot","Difficulty Menu","32","Loot"
"Progression","Difficulty Menu","32","Progression"
"Enemies","Difficulty Menu","32","Враги"
"Hardcore","Difficulty Menu","32","Хардкор"
"Rookie","Difficulty Menu","32","Rookie"
"Survivor","Difficulty Menu","32","Survivor"
"Hunter","Difficulty Menu","32","Hunter"
"Sell Multiplier","Difficulty Menu","32","Множитель на продажу"
"Items Amount","Difficulty Menu","32","Количество предметов"
"Amount Of Single Item","Difficulty Menu","32","Количество одинакового предмета"
"Minimum Weapons Durability","Difficulty Menu","32","Минимальное состояние оружия"
"Maximum Weapons Durability","Difficulty Menu","32","Максимальное состояние оружия"
"NPCs Drop Armor","Difficulty Menu","32","NPCs Бросает броню?"
"NPC Ammo Amount","Difficulty Menu","32","NPC Количество патронов"
"Character Health","Difficulty Menu","32","ХП персонажа"
"Minimum Transportable Weight","Difficulty Menu","32","Минимальный переносимый вес"
"Hunger/Thirst Decay Rate","Difficulty Menu","32","Hunger/Thirst Decay Rate"
"Reputation Multiplier","Difficulty Menu","32","Множитель репутации"
"Skill Experience Multiplier","Difficulty Menu","32","Skill Experience Multiplier"
"Reputation From Quests","Difficulty Menu","32","Репутации с Квестов"
"Roubles From Quests","Difficulty Menu","32","Рублей с Квестов"
"Items From Quests","Difficulty Menu","32","Предметов с Квестов"
"Service Price","Difficulty Menu","32","Service Price"
"Human Health","Difficulty Menu","32","Human Health"
"Human Damage Dealt","Difficulty Menu, damage dealt to humans","32","Human Damage Dealt"
"Mutant Health","Difficulty Menu","32","Mutant Health"
"Mutant Damage Dealt","Difficulty Menu, damage dealt to mutants","32","Mutant Damage Dealt"
"Lose Equipment","Difficulty Menu","32","Будет ли теряться снарежение?"
"Lose Ammo","Difficulty Menu","32","Будет ли теряться патроны?"
"Lose Medication","Difficulty Menu","32","Будет ли теряться медикаменты?"
"Lose Consumable","Difficulty Menu","32","Будет ли теряться употребляймое?"
"Lose Keys","Difficulty Menu","32","Будет ли теряться ключи?"
"Lose Other Item","Difficulty Menu","32","Будет ли теряться другие вещи?"
"Perma Death","Difficulty Menu","32","Пермаментная смерть"
"Traders Money","Difficulty Menu","32","Денег у торговца"
"Price: Weapons","Difficulty Menu","32","Цена: Оружия"
"Price: Armors","Difficulty Menu","32","Цена: Брони"
"Price: Backpacks","Difficulty Menu","32","Цена: Рюкзаков"
"Price: Ammo","Difficulty Menu","32","Цена: Патронов"
"Price: Medications","Difficulty Menu","32","Цена: Медикаментов"
"Buy for","Trading menu","32","Купить за"
"Next","General Usage, go forward a step or menu","16","Вперёд"
"Back","General Usage, go forward a step or menu","16","Назад"
"Exit","General Usage, go forward a step or menu","16","Выйти"
"On","General Usage, On as in enabled","16","Включить"
"Off","General Usage, Off as in disabled","16","Выключить"
"Go","General Usage, select an option or go to a place","16","Go"
"Extras","General Usage, indicating additional options","16","Extras"
"Track","General Usage, track a requirement or object","16","Track"
"Reward","Quest Rewards","24","Награда"
"Exp","Quest Rewards","16","Exp"
"Rep","Quest Rewards","16","Rep"
"Requirements","General Usage, quest or crafting conditions","24","Требования"
"General","General Usage, meaning general usage","24","General"
"Deal","General Usage, accepting a deal or offer","18","Совершить сделку"
"Forest","Map/Area Name","28","Лес"
"Makeshift camp","Map/Area Name","28","Makeshift camp"
"Industrial area","Map/Area Name","28","Индастриальная зона"
"Swamp","Map/Area Name","28","Болото"
"Mall","Map/Area Name","28","Почта"
"CNPP","Map/Area Name","28","CNPP"
"Zakov","Map/Area Name","28","Zakov"
"Rural area","Map/Area Name","28","Rural area"
"Are you sure you want to scrap this item?","Scrap Menu","72","Вы уверены что хотите переработать данный предмет в металлолом?"
"No, keep it","Scrap Menu","32","No, keep it"
"Yes, destroy it","Scrap Menu","32","Yes, destroy it"
"Add Marker","Marker context menu","24","Добавить Метку"
"Remove Marker","Marker context menu","24","Удалить Метку"
"Medication","Crafting Menu","24","Медикаменты"
"Ammunition","Crafting Menu","24","Аммуниция"
"Food","Crafting Menu","24","Еда"
"Repair Kit","Crafting Menu","24","Ремонтный комплект"
"Repair Gear","Crafting Menu","24","Ремонтное оборудование"
"Mod Weapons","Crafting Menu","24","Mod Weapons"
"Modules Tier 1","Crafting Menu","24","Modules Tier 1"
"Modules Tier 2","Crafting Menu","24","Modules Tier 2"
"Required Items","Crafting Menu","24","Required Items"
"No additional requirements","Crafting Menu","32","No additional requirements"
"Craft","Crafting Menu","24","Крафт"
"Inventory","Inventory Menu","32","Инвентарь"
"Ground","Inventory Menu","32","Ground"
"Anti bleed gel","Medication Items","32","Кровоостанавливающий гель"
"Bandage","Medication Items","32","Бинт"
"Sterilised bandage","Medication Items","32","Стирильный бинт"
"First aid medikit","Medication Items","32","Аптечка первой помощи"
"Professional medikit","Medication Items","32","Professional medikit"
"Improvised medikit","Medication Items","32","Improvised medikit"
"Standard medikit","Medication Items","32","Standard medikit"
"Modern medikit","Medication Items","32","Modern medikit"
"Medikit T-000","Medication Items","32","Medikit T-000"
"Anti-rad pills","Medication Items","32","Anti-rad pills"
"Assault","Loadouts","32","Assault"
"The tried and tested choice. A versatile loadout that's generally effective at most ranges but excels at none of them.","Loadouts - Description","160","The tried and tested choice. A versatile loadout that's generally effective at most ranges but excels at none of them."
"Bruiser","Loadouts","32","Bruiser"
"Get in close and make them hurt! What it lacks in range it makes up for in close-range superiority.","Loadouts - Description","160","Get in close and make them hurt! What it lacks in range it makes up for in close-range superiority."
"Marksman","Loadouts","32","Marksman"
"They'll never see it coming. Scout out targets from afar and pick them off one-by-one. Just don't let them get too close.","Loadouts - Description","160","They'll never see it coming. Scout out targets from afar and pick them off one-by-one. Just don't let them get too close."
"Ranger","Loadouts","32","Ranger"
"Precision on the move. Great at mid-to-long range engagements with the ability to outrange most guns. Keep a sidearm handy for when they're too close.","Loadouts - Description","160","Precision on the move. Great at mid-to-long range engagements with the ability to outrange most guns. Keep a sidearm handy for when they're too close."
"Tactical Operator","Loadouts","32","Tactical Operator"
"Who needs big guns? Reposition quickly and use your trusty pistol and starting flashbangs to come out on top.","Loadouts - Description","160","Who needs big guns? Reposition quickly and use your trusty pistol and starting flashbangs to come out on top."
"Survivor","Loadouts","32","Survivor"
"Someone packed light. This is going to be rough.","Loadouts - Description","160","Someone packed light. This is going to be rough."
"Backpack 1","Backpacks","48","Backpack 1"
"Military standard backpack","Backpacks","48","Military standard backpack"
"Military high capacity backpack","Backpacks","48","Military high capacity backpack"
"RTU Backpack","Backpacks","48","RTU Backpack"
"RTU-000 Backpack","Backpacks","48","RTU-000 Backpack"
"SZX-100 Backpack","Backpacks","48","SZX-100 Backpack"
"HFY Backpack","Backpacks","48","HFY Backpack"
"TQ001 Backpack","Backpacks","48","TQ001 Backpack"
"EXE Backpack","Backpacks","48","EXE Backpack"
"ZXOP-500 Backpack","Backpacks","48","ZXOP-500 Backpack"
"School bag","Backpacks","48","School bag"
"Santa's Backpack","Backpacks","48","Santa's Backpack"
"Backpack small","Backpacks","48","Backpack small"
"Class A documents","Documents","48","Class A documents"
"Class B documents","Documents","48","Class B documents"
"Class C documents","Documents","48","Class C documents"
"Class D documents","Documents","48","Class D documents"
"Secret documents. Hand these to a faction leader to improve your reputation.","Documents","96","Secret documents. Hand these to a faction leader to improve your reputation."
"Electrical Anomaly","NPCs","48","Electrical Anomaly"
"Fiery Anomaly","NPCs","48","Fiery Anomaly"
"Arman","NPCs","48","Arman"
"Lazar","NPCs","48","Lazar"
"Lazar's Guard","NPCs","48","Lazar's Guard"
"Orel","NPCs","48","Orel"
"Doctor","NPCs","48","Doctor"
"Networker","NPCs","48","Networker"
"Barman","NPCs","48","Barman"
"Big","NPCs","48","Big"
"Blink","NPCs","48","Blink"
"Boar","NPCs","48","Boar"
"Mutated Boar","NPCs","48","Mutated Boar"
"Soldier Gedeon Bogdanov","NPCs","48","Soldier Gedeon Bogdanov"
"Conductor","NPCs","48","Conductor"
"Soldier Ermolai Vlasov","NPCs","48","Soldier Ermolai Vlasov"
